Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
25/08/2011,EQ,969.70,973.00,938.00,962.60,957.40,950.40,952.85,1246.95,830.20,2222744.00,2117952682.60,66580.00
26/08/2011,EQ,951.10,969.50,940.00,950.40,950.00,948.45,955.81,1246.95,830.20,1792455.00,1713239653.90,69655.00
29/08/2011,EQ,964.10,1024.00,964.10,948.45,1018.20,1019.60,1004.57,1246.95,830.20,2795222.00,2807989799.45,77149.00
30/08/2011,EQ,1030.00,1050.30,1024.15,1019.60,1045.00,1042.40,1037.41,1246.95,830.20,2983341.00,3094938328.45,78911.00
02/09/2011,EQ,1073.00,1074.75,1012.00,1042.40,1024.05,1022.10,1027.20,1246.95,830.20,2206753.00,2266765948.25,69634.00
05/09/2011,EQ,1015.80,1033.20,998.45,1022.10,1025.00,1027.70,1009.64,1246.95,838.00,1894829.00,1913100916.50,48351.00
06/09/2011,EQ,1018.00,1042.00,1005.00,1027.70,1030.90,1033.90,1022.87,1246.95,838.00,2381646.00,2436115420.10,67022.00
07/09/2011,EQ,1034.10,1050.00,1025.00,1033.90,1026.00,1031.00,1038.89,1246.95,838.00,2216078.00,2302257552.75,63117.00
08/09/2011,EQ,1033.00,1054.95,1029.00,1031.00,1030.75,1036.05,1043.18,1246.95,838.00,2446331.00,2551953645.30,66293.00
09/09/2011,EQ,1040.00,1051.60,1010.65,1036.05,1013.25,1016.05,1024.93,1246.95,838.00,2531325.00,2594423011.35,52353.00
12/09/2011,EQ,1000.00,1003.85,978.65,1016.05,986.35,985.70,985.68,1246.95,864.50,1648585.00,1624978687.70,49904.00
13/09/2011,EQ,997.80,1024.00,988.75,985.70,991.50,993.75,1006.87,1246.95,864.50,1899102.00,1912156260.10,51900.00
14/09/2011,EQ,1001.00,1029.00,993.75,993.75,1016.30,1015.10,1012.69,1246.95,864.50,2372816.00,2402924851.75,72846.00
15/09/2011,EQ,1028.00,1045.80,1010.00,1015.10,1040.25,1041.75,1028.81,1246.95,864.50,1926119.00,1981608749.70,56168.00
16/09/2011,EQ,1048.00,1072.40,1021.30,1041.75,1023.35,1027.75,1047.90,1246.95,864.50,2328252.00,2439782895.95,61929.00
19/09/2011,EQ,1021.50,1032.50,1012.50,1027.75,1017.20,1018.05,1021.17,1246.95,869.00,1120117.00,1143833586.55,41132.00
20/09/2011,EQ,1022.10,1064.00,1022.10,1018.05,1064.00,1057.95,1046.83,1246.95,869.00,1743993.00,1825671732.90,55888.00
21/09/2011,EQ,1067.95,1067.95,1036.90,1057.95,1041.25,1043.50,1049.61,1246.95,869.00,1370380.00,1438364883.35,57853.00
22/09/2011,EQ,1023.00,1034.00,986.20,1043.50,996.00,994.40,1010.79,1246.95,869.00,1570785.00,1587731289.70,51531.00
23/09/2011,EQ,988.00,1015.00,982.25,994.40,988.95,990.30,998.15,1246.95,869.00,2282116.00,2277894612.05,71415.00
26/09/2011,EQ,996.00,1008.00,969.00,990.30,997.60,996.95,988.72,1246.95,869.00,1694239.00,1675127347.65,59746.00
27/09/2011,EQ,1013.80,1045.00,1006.00,996.95,1044.00,1040.55,1029.97,1246.95,869.00,1982289.00,2041690348.85,55441.00
28/09/2011,EQ,1048.50,1064.70,1037.00,1040.55,1051.65,1047.90,1049.05,1246.95,869.00,2212595.00,2321123940.45,89790.00
29/09/2011,EQ,1043.25,1068.00,1035.70,1047.90,1062.00,1061.45,1053.76,1246.95,869.00,2690175.00,2834808026.65,87210.00
30/09/2011,EQ,1049.90,1064.00,1033.10,1061.45,1034.00,1037.30,1047.38,1246.95,869.00,1345509.00,1409261100.85,53520.00
03/10/2011,EQ,1020.00,1049.90,1015.30,1037.30,1041.10,1043.30,1035.32,1246.95,869.00,1974632.00,2044379036.30,55562.00
04/10/2011,EQ,1038.40,1059.00,1029.10,1043.30,1048.05,1045.95,1044.29,1246.95,869.00,2359112.00,2463594354.95,64788.00
05/10/2011,EQ,1054.50,1063.00,1041.00,1045.95,1045.00,1043.55,1051.33,1246.95,869.00,1707631.00,1795276857.05,49113.00
07/10/2011,EQ,1075.10,1077.80,1037.50,1043.55,1043.50,1048.55,1058.69,1246.95,869.00,2542904.00,2692140872.20,75081.00
10/10/2011,EQ,1048.00,1074.00,1048.00,1048.55,1070.05,1064.70,1063.03,1246.95,902.00,1927407.00,2048897832.75,51990.00
11/10/2011,EQ,1075.00,1078.00,1034.50,1064.70,1035.00,1040.85,1054.39,1246.95,902.00,2238187.00,2359922668.70,60909.00
12/10/2011,EQ,1066.00,1089.40,1062.00,1040.85,1077.50,1079.05,1077.13,1246.95,902.00,2935831.00,3162280166.60,86502.00
13/10/2011,EQ,1096.50,1104.95,1080.10,1079.05,1089.40,1092.75,1092.56,1246.95,902.00,2704459.00,2954776222.60,63136.00
14/10/2011,EQ,1089.40,1140.75,1088.90,1092.75,1135.05,1134.25,1118.88,1246.95,902.00,3355066.00,3753928968.90,87417.00
17/10/2011,EQ,1151.50,1154.00,1111.30,1134.25,1124.95,1120.25,1128.16,1246.95,902.00,2179345.00,2458659388.25,66752.00
18/10/2011,EQ,1062.00,1064.25,1020.50,1120.25,1037.00,1033.55,1035.10,1246.95,902.00,6003389.00,6214092462.35,165201.00
19/10/2011,EQ,1043.00,1054.40,1035.20,1033.55,1046.00,1048.95,1045.07,1246.95,902.00,1913710.00,1999952454.55,62410.00
20/10/2011,EQ,1036.00,1047.00,1030.30,1048.95,1044.50,1044.90,1040.42,1246.95,902.00,1122706.00,1168083962.20,37117.00
21/10/2011,EQ,1054.90,1060.00,1043.00,1044.90,1051.00,1049.85,1051.98,1246.95,902.00,1230565.00,1294523839.60,38019.00
24/10/2011,EQ,1060.00,1092.30,1059.50,1049.85,1077.00,1079.75,1081.78,1246.95,902.00,1635860.00,1769637570.60,49788.00
25/10/2011,EQ,1089.00,1107.00,1071.45,1079.75,1103.35,1098.65,1090.49,1246.95,902.00,2079373.00,2267527059.30,51815.00
